ablegøyer finne på	gïmpeldidh
gjøre fantestreker	gïmpeldidh

addere	ektiedidh
forene	ektiedidh

adlyde	dåarjodh
følge	dåarjodh

adlyde	luvredh
lystre	luvredh
være lydig	luvredh

administrasjon	reereme
forvaltning	reereme

administrere	reeredh
forvalte	reeredh
beherske	reeredh
rå med	reeredh
mestre	reeredh

adressat	dåastoje
mottaker	dåastoje

adskillelse	juakadimmie
skilsmisse	juakadimmie

adspredt	aallohks
adspredt	aallohke
bortkommen	aallohks
bortkommen	aallohke

advare på forhånd	narhtodh
forby	narhtodh

advare	vaaroehtidh

advare	narhtoelidh
forby i en fart	narhtoelidh

advare	bïedtedh
forby	bïedtedh
tiltale	bïedtedh
påtale	bïedtedh

aerviedidh	skjønne
aerviedidh	ane

aeskedh	jage vekk

agn	sieptie
agn	siemtje

agressiv	hatsves+?
hevnaktig	hatsves+?

ake	gierestidh
ake	giereste

akebrett	gierets-pleahtjoe

akkurat der borte	dabpanahkh

akkurat her	daasnegh

akkurat herfra	daastegh

akkurat som	barre goh

akseptre	mietedh

akt gi på	køøksedh
holde øye med	køøksedh

akt på gi	gutnedh
beundre	gutnedh
speide	gutnedh
speide på	gutnedh

akte på	eavadidh
akte på	eavedidh
bry seg om	eavadidh
bry seg om	eavedidh
gidde	eavadidh
gidde	eavedidh

akte	geakasjidh
tvile	geakasjidh
være tvilrådig	geakasjidh
ha til hensikt	geakasjidh
ha til mening	geakasjidh

akterenden i en båt	minngie-skæhtese

aktiv være	eadtjohkelaakan orrodh

aktivisere	eadtjaldehtedh

aktiviserende aktiviteter	eadtjaldehteme darjomh

aktiviserende	eadtjaldehteme

aktivitet	barkeme
aktivitet	darjome

aktivt	eadtjohke-laakan

aldeles	ov
aldeles	øøvre
aldeles	dan soe

aldersgrense	jaepie-raaste

alderspensjon	voeres-maaksoe
alderspensjon	voeres-beetnegh

aldri	ij gåessie

ale	eeledh
ale	eelie

alene	oktegh

alene	oktegims
for seg	oktegims

alene	oktegh
alene	oktegims
for seg selv	oktegh
for seg selv	oktegims
ensom	oktegh
ensom	oktegims

alene	tjietjelen
alene	tjietjele
for seg sjøl	tjietjelen
for seg sjøl	tjietjele

alkohol nøde	tjearvadehtedh
utøve alkoholpress	tjearvadehtedh
drikke en full	tjearvadehtedh

alle sammen	gaajhkesh
alle sammen	gaajhkesh dovnesh

alle slag	gaajhke-såårts

allerede	joe

allikevel	darhkan
da	darhkan
virkelig	darhkan
riktignok	darhkan

allment	siejhme-laakan
objektivt	siejhme-laakan

alltid	iktesth

alltid	iktst

alminnelig	siejhme
uformell	siejhme
privat	siejhme
vanlig	siejhme

almisse	vadtese
gave	vadtese

alt	gaajhke

alt sammen	gaajhke dovne

altan	raajtere
altan	raajterasse
altan	raajrelese
trapp	raajtere
trapp	raajterasse
trapp	raajrelese
stige	raajtere
stige	raajterasse
stige	raajrelese

altfor lite så	vaen’vaeniem
så lite	vaen’vaeniem

altfor	ååpsen

altså slik	nagke
altså slik	nagkh
altså	nagke
altså	nagkh
nok	nagke
nok	nagkh
jo	nagke
jo	nagkh
altså	nagke
altså	nagkh

altså	nagke
altså	nagkh

altså	badth
bare	badth
da	badth
ja	badth
nok	badth
virkelig	badth

alvor ta på	seahkaridh
bry seg om	seahkaridh
ense	seahkaridh

alvoret i noe som truer se	riegkiegidh
alvoret i noe som truer se	riegkiegåetedh
få skrekk i seg	riegkiegidh
få skrekk i seg	riegkiegåetedh

amulett	sjiele
amulett	sjielege
offergave	sjiele
offergave	sjielege
gave	sjiele
gave	sjielege
bryllupsgave	sjiele
bryllupsgave	sjielege

an gå	dajpedh
duge	dajpedh

analysere	joekehtehtedh
skille	joekehtehtedh
skjelne	joekehtehtedh
holde fra hverandre	joekehtehtedh

and	tjååtsele

andel	joekehtasse
part	joekehtasse
del	joekehtasse

andpusten bli	ïepkergovvedh

andre	jeatjebh

andrespråk	mubpien-giele
andrespråk	nubpien-giele

ane	aerviedidh
anslå	aerviedidh
anta	aerviedidh
forstå	aerviedidh

ane	mieledh
vite	mieledh
kjenne til	mieledh
mene	mieledh
merke	mieledh
kjenne	mieledh
forstå	mieledh

anelse	miele
viten	miele
mening	miele
sinn	miele
følelse	miele
kjennskap	miele
forståelse	miele

anerkjennelse	jååhkesjimmie
bekreftelse	jååhkesjimmie

angle	sigkestidh
fiske	sigkestidh

angre	saangerdidh
angre	saangerde

angripe	flovvedh

angripe	njøørkedh

angripe rein	låavtedh

angripe	jaeltiehtidh
angripe	njøørkedh
angripe	njøørkie

angripe	dåårejidh
begynne å sloss med	dåårejidh

angripe	nierhkedh
angripe	nierhkedidh
gå løs på oppgaven	nierhkedh
gå løs på oppgaven	nierhkedidh

angripe	låevtedh
angripe	låavta
gå på	låevtedh
gå på	låavta

angripe	åevtedh
gå på	åevtedh
legge teltduken på kåten	åevtedh

angripe	jaeltedh
komme og skremme	jaeltedh
gjø i sinne	jaeltedh

angå	dijpedh
ha med å gjøre	dijpedh
påvirke	dijpedh
gjelde	dijpedh

anklage	gielkerdidh
klage på	gielkerdidh
lyve	gielkerdidh

anklage	laejhtedh
kritisere	laejhtedh
klandre	laejhtedh

anledning til få	bieselidh
anledning til få	bieselistedh

anledning	nuepie
sjanse	nuepie
mulighet	nuepie

anmode	maedtedh
be	maedtedh

annen en	jeatjebe
noe annet	jeatjebe

annet	jeatjebe

anonym være	tsiemedh
gå i skjul	tsiemedh
spille på runebomme	tsiemedh
gjøre noe i dølgsmål	tsiemedh

anse	utnedt
holde	utnedt
synes	utnedt
mene	utnedt
ha	utnedt

ansikt	ååredæjja
ansikt	njuenie
ansikt	tjelmieh

ansiktsutseende	guelmie
utseende	guelmie
fasong	guelmie

anskueliggjort	byjjobse
opp i dagen	byjjobse

anskueliggjøre	tjielkestidh
anskueliggjøre	tjielkestehtedh
sette tingene på plass	tjielkestidh
sette tingene på plass	tjielkestehtedh
sette saken i det rette perspektiv	tjielkestidh
sette saken i det rette perspektiv	tjielkestehtedh
forklare	tjielkestidh
forklare	tjielkestehtedh
klargjøre	tjielkestidh
klargjøre	tjielkestehtedh
redegjøre	tjielkestidh
redegjøre	tjielkestehtedh

anslå	aerviedidh
anta	aerviedidh
forstå	aerviedidh
ane	aerviedidh

anstrenge seg kraftig	pradtjedh
ta i	pradtjedh

ansvar	diedte
påvirkning	diedte

anta	aerviedidh
forstå	aerviedidh
ane	aerviedidh
anslå	aerviedidh

anta	sovmedh
tro	sovmedh

antakelig	nov sån

antyde	hæmmoehtidh

antyde	daejriehtidh
få fram	daejriehtidh
la forstå	daejriehtidh

antydning	hæmmoe

ap med drive	firnestehtedh
gjøre narr av	firnestehtedh
erte	firnestehtedh

ape	aahpeldidh
ape	haahpeldidh
gjøre narr av	aahpeldidh
gjøre narr av	haahpeldidh

april	voerhtje
kråke	voerhtje

arbeid	barkoe

arbeide	barkedh
arbeide	barka

arbeide med hendene	vytnesjidh
arbeide med hendene	vytnesje

arbeidsfordeling	barkoe-jåakoe

arbeidsform	barkoe-vuekie

arbeidsgruppe	barkoe-duehkie/dåehkie
seminar	barkoe-duehkie/dåehkie

arbeidsleir	barkoe-mehkie

arbeidsleir	loeves-mehkie
kibbuz	loeves-mehkie

arbeidsmåte	barkoe-vuekie

areal	goelpene-ståaroe

argumentere	diejveldidh

armhule	gaejnele

aroma	roenge
duft	roenge

arrangement	øørneme
arrangert	øørneme
i orden	øørneme

arrangere	øørnedehtedh

arrangert bli	øørnesovvedh
bli bragt i orden	øørnesovvedh

arrangert	øørneme
i orden	øørneme
arrangement	øørneme

artig ha det	lustedalledh
leke	lustedalledh
more seg	lustedalledh

arv	aerpie

arvekjele	raajoe-giebnie

arveskifte	raajoe
medgift	raajoe
grense	raajoe

aske	govne

at	ahte
at	ihke
at	juktie jihkie
over at	ahte
over at	ihke
over at	juktie jihkie
fordi	ahte
fordi	ihke
fordi	juktie jihkie
for	ahte
for	ihke
for	juktie jihkie

atter	aaj-viht
på nytt	aaj-viht
igjen	aaj-viht

attest	vihtesjimme
bevis	vihtesjimme
vitnemål	vihtesjimme

attrå	njaahtjome
begjær	njaahtjome
higen	njaahtjome

attrå	njaahtjodh
hige etter	njaahtjodh
begjære	njaahtjodh

attåt	lissine
i tillegg til	lissine

august	mietske

ause	gåajvodh
ause	gååjve

ause	guksie
kopp	guksie

ause	gåajvoe
spade	gåajvoe

av hva det skal være	mest´e

av hva	mestie

avdød	åemie

avdød	jaemehke
død	jaemehke

avdøde	åemehke

avføring	bæjhke
dårlig	bæjhke
elendig	bæjhke
udugelig	bæjhke
skit	bæjhke

avgangsprøve	loejhtsh-tjaeleme

avgrense en oppgave	tjoehpedistedh
sette/definere standarden	tjoehpedistedh
bestemme omfanget	tjoehpedistedh
skjære	tjoehpedistedh
hugge	tjoehpedistedh
klippe til som snarest	tjoehpedistedh
tilpasse	tjoehpedistedh
forme	tjoehpedistedh
sette mal	tjoehpedistedh
sette begrensning	tjoehpedistedh

avgårde komme seg	loevenidh
løsne	loevenidh
komme seg løs	loevenidh
bli løs	loevenidh
skille seg	loevenidh

avhåre skinn	njilkedh
avhåre skinn	njilkie

avisinnlegg	plaerietjaeleme

avkok	løøvje
te	løøvje

avlede	seerehtidh
berolige	seerehtidh

avlegge et kort besøk	goevlestidh
titte innom	goevlestidh

avlive rein med nakkestikk	ajpestidh
stikke i nakken	ajpestidh

avmagring sette på	tjohkehtehtedh
avskrelle	tjohkehtehtedh
minske omfanget av	tjohkehtehtedh
minimere	tjohkehtehtedh
sammendra	tjohkehtehtedh
la sulte	tjohkehtehtedh
ikke gi mat nok	tjohkehtehtedh
sette på sultekur	tjohkehtehtedh

avsides holde seg	paajsanidh
skjult	paajsanidh
komme seg unna	paajsanidh
dra fra sted til sted	paajsanidh

blande seg	klaadtenidh
blande seg	kladtenidh

blande seg	klaadtenidh
blande seg	klaadtene
blande seg	mastedh
blande seg	masta
